"","Value","Groups","Rank","Taxa"
"285",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"286",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"287",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"288",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"289",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"290",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"291",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"292",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"293",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"294",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"295",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"296",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"297",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"298",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"299",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"300",262,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"301",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"302",2939,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"303",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"304",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"305",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"306",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"307",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"308",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"309",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"310",185,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"311",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"312",6149,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"313",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"314",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"315",302,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"316",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"317",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"318",1636,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"319",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"320",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"321",57,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"322",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"323",299,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"324",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"325",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"326",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"327",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"328",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"329",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"330",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"331",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"332",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"333",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"334",0,"FanVent",72,"g__Plectosphaerella padj = 1.5666e-07"
"335",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"336",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"337",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"338",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"339",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"340",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"341",0,"Door",72,"g__Plectosphaerella padj = 1.5666e-07"
"342",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"343",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"344",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"345",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"346",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"347",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"348",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"349",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"350",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"351",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"352",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"353",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"354",0,"WallCeiling",72,"g__Plectosphaerella padj = 1.5666e-07"
"355",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"356",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"357",0,"Floor",72,"g__Plectosphaerella padj = 1.5666e-07"
"358",1308,"WallCeiling",7,"g__Sarocladium padj = 5.998e-10"
"359",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
"360",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
"361",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"362",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
