"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"6263ce6c986e8b7899e6c1eaddb9781c","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__","s__"
"3ef4418a30d7fbd1b8c5763aa5fbbd0a","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Neophaeococcomyces","s__Neophaeococcomyces_aloes"
"861fe8bb733ab1005952fe5f9b5020b7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","s__Periconia_pseudodigitata"
"437c64c42ba1d3c524feb965497cefb5","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__Trichoderma_pararogersonii"
"a50480d9ecb2c8bfa9373ddd79006535","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Subulicystidium","s__Subulicystidium_perlongisporum"
"078e4b4ce9ac853aa133247b88bd1e9f","k__Fungi","p__","c__","o__","f__","g__","s__"
"0bb11374d2f920b38e120b9094f2c7ce","k__Fungi","p__","c__","o__","f__","g__","s__"
"5a7a028d35d29780fb18ab464e8e2311","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Hymenochaetopsis","s__Hymenochaetopsis_sp"
"d72e75e559331847a79a9d9ed676a59c","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Coniosporium","s__Coniosporium_uncinatum"
"0a563f17f31f04f32d107a5bef4456e4","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Tubulicrinis","s__Tubulicrinis_subulatus"
"3a64757e8a79fb6c9192b23d934c67c3","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__Rhodotorula_dairenensis"
"41cc31fbdce6974678fba25d7566f7ba","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__Rhodotorula_araucariae"
"69a3b36f37bdf4870a9986271e76aa3d","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Phialocephala","s__"
"8ca694da1bdcd19c0a897c93a3dd1913","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__","f__","g__","s__"
"1d69591f40e7e15bf2660af0ca9f6c9e","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__Leptospora_sp"
"284c4ed977b43e8010e055d5abf32a3a","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Phanerochaete","s__"
"5e2ce29748fe82907e1f86e4cac4a5ad","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__Trametes_hirsuta"
"9cf49e214a424ce4812cc003510e0bd9","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__Cystofilobasidium_macerans"
"f2abec22a19b4aee827c05183871c0e9","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryobasidium","s__Botryobasidium_subcoronatum"
"3b040c39ca7166dd2405fc47b4e7f1bb","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma","s__Ganoderma_adspersum"
"70df22452c58633b059516008f3de6ba","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__Penicillium_ellipsoideosporum"
"90e44b42716070f521a7f94e9e3e7a06","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__","s__"
"9ba90ad1c66ef40978b74a556d3d8758","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__","s__"
"18bb69601663485f9451496ee3cb6254","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","s__Limonomyces_culmigenus"
"40159baf36f8f9ad4852a63eed7d879c","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraophiobolus","s__Paraophiobolus_torilicola"
"50d2cac83686121a21f57808632d1768","k__Fungi","p__","c__","o__","f__","g__","s__"
"8b72e2530f2fe8c8dd57adece36f329e","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__","s__"
"92900db90733d492ee8337c368eea2b7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__","g__","s__"
"b42fceddf861a1fc82e6c9818228e5f7","k__Fungi","p__","c__","o__","f__","g__","s__"
