"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"b2b74b8285b35daf7551fe0d8b596854","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"b66082c2a1fa9e9124076d0fd620d983","k__Fungi","p__","c__","o__","f__","g__","s__"
"b8c3fb8c02055dac1fa82a9595ed54c6","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__"
"bcedfd6eb4a34af43f32d4b394d7ea2e","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Teichosporaceae","g__Floricola","s__Floricola_festucae"
"c6b62d75b0036619beedb6c2e062aa27","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Parascedosporium","s__Parascedosporium_putredinis"
"ca81dde1c824e601dfe62433e3e9c289","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__Diatrype_stigma"
"cbd00abc840723f140432d20bf7ee7d8","k__Fungi","p__","c__","o__","f__","g__","s__"
"cc3515d4670d4c27f093854e27b73a0b","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"cdf6db0bc2d71d364a8f4c383ad757ff","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"cf540ff3e8d076a2af325e97c9371d3a","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Exserohilum","s__Exserohilum_gedarefense"
"cfbd86570ce0216e19dd57cf4468ad9c","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__","s__"
"d6a91cfec2e22fae3df4cc673ec014b6","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"d6e081d5f70eacc755ce0531d16be598","k__Fungi","p__","c__","o__","f__","g__","s__"
"d887f9928c3ef5926d3d6ff6f8c4628c","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__Naganishia_randhawae"
"dd186291154a31ebcb5a15d70c899ba2","k__Fungi","p__Rozellomycota","c__Rozellomycota_cls_Incertae_sedis","o__Rozellomycota_ord_Incertae_sedis","f__Rozellomycota_fam_Incertae_sedis","g__Rozellomycota_gen_Incertae_sedis","s__Rozellomycota_sp"
"dd58a4c7d4e059512a2f8344e7f553cf","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetales_fam_Incertae_sedis","g__Spizellomycetales_gen_Incertae_sedis","s__Spizellomycetales_sp"
"de772dd517ce11c30a4d130810d3692a","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setomelanomma","s__Setomelanomma_holmii"
"df8bd3603093aad7cfce41f26ce21fa3","k__Fungi","p__","c__","o__","f__","g__","s__"
"e06f0cff2fc479ae753456cd6bff5663","k__Fungi","p__","c__","o__","f__","g__","s__"
"e2057a00a9f359bac70b3ac6ee6d514b","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"e5ce5bc0e8599d54db9e87b41784158c","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__Curvularia_protuberata"
"e9766c64b5e387ab4fa5cde0cb75c54e","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Parabambusicolaceae","g__","s__"
"ec7210fa6119c3dd3eef5e7f2ab25a0d","k__Fungi","p__","c__","o__","f__","g__","s__"
"ee322404f9da1db009ee8f954c4c9025","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"ee6faf40b0991c46e791580e93a78531","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"ef4c9a81b68f411cf56b17f6143a6466","k__Fungi","p__","c__","o__","f__","g__","s__"
"f1430873ee33feab09af5170c74a61ba","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"f24535bf51f21ec6541593bc4c3d43d6","k__Fungi","p__","c__","o__","f__","g__","s__"
"f467eef34140b3724bdb86dfd7dea58a","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Yarrowia","s__Yarrowia_lipolytica"
"f677a1573dd040674a88a65cb9d2b741","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"fa306c6ae65e630dca986b5af3fb94c1","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Ophiostoma","s__"
"fa6381e02fd4b62d3c8dcaac2cbc54d2","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys","s__Arthrobotrys_sp"
"fe15ead04e1ec66a89c3e090676b0aa6","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__Saitozyma_podzolica"
"fe5daed8d5099923cfd1634c7fccefaf","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Lithohypha","s__Lithohypha_aloicola"
"ff2da14a6f426e3fb45c133c804d00a8","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"ff48f6e6e108f78c4092a5448a7a4554","k__Fungi","p__","c__","o__","f__","g__","s__"
"011a22d6f6ca5136c409dfd474b06665","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__","f__","g__","s__"
"029db1d36939cc54cddff115ed966c01","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Nectria","s__Nectria_diminuta"
